resource,addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,official-name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata,wikipedia
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,British Business Bank,,,,government-organisation:OT1148,,,,,,https://www.gov.uk/government/organisations/british-business-bank,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Accelerated Access Review,,,,government-organisation:OT1137,,,,,,https://www.gov.uk/government/organisations/accelerated-access-review,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Independent Anti-slavery Commissioner,,,,government-organisation:IM1123,,,,,,https://www.gov.uk/government/organisations/independent-anti-slavery-commissioner,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Independent Family Returns Panel,,,,government-organisation:OT1122,,,,,,https://www.gov.uk/government/organisations/independent-family-returns-panel,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Civil Service Fast Stream,,,,government-organisation:OT1121,,,,,,https://www.gov.uk/government/organisations/civil-service-fast-stream,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Oil and Gas Authority,,,,government-organisation:EA1119,,,,,,https://www.gov.uk/government/organisations/oil-and-gas-authority,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Transport Focus,,,,government-organisation:PB1118,,,,,,https://www.gov.uk/government/organisations/transport-focus,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Office of Rail and Road,,,,government-organisation:D1117,,,2015-10-16,,,https://www.gov.uk/government/organisations/office-of-rail-and-road,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Government Commercial Function,,,,government-organisation:OT1116,,,,,,https://www.gov.uk/government/organisations/government-commercial-function,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Highways England,,,,government-organisation:EA1114,,,,,,https://www.gov.uk/government/organisations/highways-england,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Defence Electronics and Components Agency,,,,government-organisation:EA1113,,,,,,https://www.gov.uk/government/organisations/defence-electronics-and-components-agency,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,United Kingdom Reserve Forces Association,,,,government-organisation:OT1112,,,,,,https://www.gov.uk/government/organisations/united-kingdom-reserve-forces-association,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2016-03-17,2017-04-25,,,,Third Party Campaigning Review,,,,government-organisation:OT1111,,,,,,https://www.gov.uk/government/organisations/third-party-campaigning-review,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,National Measurement and Regulation Office,,,,government-organisation:EA1109,,,,,,https://www.gov.uk/government/organisations/national-measurement-and-regulation-office,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Government Legal Department,,,,government-organisation:D1108,,,,,,https://www.gov.uk/government/organisations/government-legal-department,,
